ssn|name|address|phone|birthdate|bmi
549-42-5224|Natalie Franklin|3191 County rd 10, Canandaigua NY 14424|959-437-9986|1964-09-15|20.01
296-80-3559|Gregorio Tafoya|161 Berlin Road, Cromwell CT 06416|870-825-8030|1978-01-30|19.11
282-62-1375|Kimberly Ayers|8650 Madison Blvd, Madison AL 35758|281-598-7813|1973-05-09|29.26
427-75-8278|Jerónimo Rentería|1180 Fall River Avenue, Seekonk MA 02771|313-454-6968|1992-09-28|11.44
720-28-0863|Whitney Stanton|2055 Niagara Falls Blvd, Amherst NY 14228|978-449-4112|1949-06-12|14.39
765-93-9596|Anya Sabharwal|655 Boston Post Rd, Old Saybrook CT 06475|724-741-2806|1965-11-07|23.77
517-82-3345|Mtro. Jaime Cardenas|555 East Main St, Orange MA 01364|209-475-7170|1976-09-12|32.41
869-26-8728|Lisa Cervantes|515 Sawmill Road, West Haven CT 06516|303-417-8902|1979-10-25|32.87
510-07-2069|Abigail Luis Manuel Tafoya|2041 Douglas Avenue, Brewton AL 36426|703-485-0223|1990-04-08|26.66
388-17-6018|Julie Davis|69 Prospect Hill Road, East Windsor CT 06088|913-554-9872|1942-07-04|16.31
231-04-4785|Baiju Krishnamurthy|579 Troy-Schenectady Road, Latham NY 12110|239-932-0844|1961-03-06|19.13
135-82-1890|Hiran Banerjee|601 Frank Stottile Blvd, Kingston NY 12401|984-092-5878|1947-09-29|39.78
800-81-4607|Pamela Martinez|420 Buckland Hills Dr, Manchester CT 06040|316-943-9688|1959-04-28|15.03
383-32-5886|Abril Gilberto Brito Guillen|5783 So Transit Road, Lockport NY 14094|517-237-5805|1962-06-03|28.7
225-91-3305|Mary Chase|1950 W Main St, Centre AL 35960|331-204-0094|1969-01-19|25.39
563-40-3256|James Werner|374 William S Canning Blvd, Fall River MA 02721|410-427-5987|1940-11-23|21.08
370-95-1146|Eshani Krishnamurthy|3018 East Ave, Central Square NY 13036|812-003-5255|1972-12-28|17.16
295-01-4140|Leticia Tejada|4180 Us Hwy 431, Roanoke AL 36274|319-366-3141|1997-10-24|24.68
497-44-5373|Isabel Lemus Jaimes|255 W Main St, Avon CT 06001|713-836-7452|1960-01-05|24.95
175-12-0630|Lic. Ernesto Villegas|1100 New Haven Road, Naugatuck CT 06770|574-575-8974|1963-01-12|48.31
784-42-3253|José Luis Flavio Carvajal|1706 Military Street South, Hamilton AL 35570|606-416-3592|1961-10-16|47.13
661-04-5081|Tejas Contractor|72 Main St, North Reading MA 01864|540-909-9459|1958-06-07|32.04
942-77-2012|Jessica Harvey|80 Town Line Rd, Rocky Hill CT 06067|831-825-4241|1979-01-15|18.65
613-42-6776|Anika Karnik|1095 Industrial Pkwy, Saraland AL 36571|856-694-2981|1971-03-20|24.09
468-02-1265|Trisha Sarna|1420 Us 231 South, Troy AL 36081|402-661-3051|1971-04-12|23.56
602-15-3084|Alisha Kakar|495 Flatbush Ave, Hartford CT 06106|919-191-8096|1959-05-24|37.48
672-23-7100|Silvano Emilia Hurtado|851 Ann St, Montgomery AL 36107|747-902-0440|1960-01-10|50.39
202-26-3178|Kevin Pearson|3371 S Alabama Ave, Monroeville AL 36460|636-676-1312|1959-05-17|19.59
285-22-7479|Eric Williams|1201 Rt 300, Newburgh NY 12550|727-218-2951|1946-07-28|33.64
216-24-5053|Hazel Bahri|901 Route 110, Farmingdale NY 11735|339-390-1358|1944-10-12|32.45
417-67-7999|Dhanuk Ramachandran|2465 Hempstead Turnpike, East Meadow NY 11554|985-111-2027|1978-01-05|26.82
216-21-8515|Ojas Sarna|7100 Aaron Aronov Drive, Fairfield AL 35064|947-404-7948|1956-04-12|18.47
944-91-6470|Holly Lewis|910 Wolcott St, Waterbury CT 06705|563-486-0747|1964-11-29|41.77
873-64-7287|Isabel Omar Frías Preciado|3133 E Main St, Mohegan Lake NY 10547|763-524-8128|1998-05-06|12.84
505-55-3975|Carla Franklin|4300 Lakeville Road, Geneseo NY 14454|513-521-3202|1974-03-20|17.94
291-24-8083|Ivana Ghosh|220 Salem Turnpike, Norwich CT 06360|973-148-1554|1976-09-14|14.53
534-46-8366|Noelia Francisco Zaragoza Méndez|180 River Rd, Lisbon CT 06351|272-864-3796|1987-07-24|17.36
693-50-1210|Saanvi Srinivas|11 Jungle Road, Leominster MA 01453|808-946-4035|1999-02-18|38.09
743-84-4337|Jennifer Jimenez|1105 Boston Road, Springfield MA 01119|229-239-6627|1949-07-01|30.26
295-74-9446|Mamooty Wason|10675 Hwy 5, Brent AL 35034|510-611-3039|1989-01-09|25.62
774-69-0980|Megan Lewis|1007 Red Farmer Drive, Hueytown AL 35023|307-405-0366|1952-12-10|22.3
990-01-9642|Neelofar Kapadia|301 Falls Blvd, Quincy MA 02169|716-116-3594|1966-09-27|37.69
702-77-5981|Ayesha Vaidya|262 Swansea Mall Dr, Swansea MA 02777|479-053-7519|1947-05-13|9.43
234-66-9313|Aaron Nichols|41 Anawana Lake Road, Monticello NY 12701|802-367-1032|1953-07-28|14.84
989-70-8977|Michelle Gilbert|5399 W Genesse St, Camillus NY 13031|810-829-7268|1951-08-26|12.53
440-21-8421|Emily Wilson|4133 Veterans Memorial Drive, Batavia NY 14020|315-952-4769|1942-09-29|19.89
407-75-0364|Carlota Cristina Garibay Calvillo|1549 Rt 9, Halfmoon NY 12065|509-191-0837|1946-02-11|47.84
967-78-2950|Armaan Tailor|100 Thruway Plaza, Cheektowaga NY 14225|424-404-3493|1951-05-25|20.93
730-61-3832|Megan Thornton|34301 Hwy 43, Thomasville AL 36784|930-332-2863|1964-10-09|32.52
622-02-0599|Mtro. Óscar Carreón|5710 Mcfarland Blvd, Northport AL 35476|478-071-6347|1995-02-01|14.44
630-58-6464|Diego Lucio|301 Massachusetts Ave, Lunenburg MA 01462|336-037-2492|1984-01-05|33.73
569-53-4606|Mtro. Tania Reyna|200 Otis Street, Northborough MA 01532|641-365-2671|1943-12-13|19.13
676-67-4212|Daniel Sanders|701 Mcmeans Ave, Bay Minette AL 36507|347-479-9134|1951-01-22|11.2
918-68-6447|Tarini Kala|250 Rt 59, Airmont NY 10901|515-199-8780|1955-07-10|12.15
655-94-2630|Heather Ochoa|150 Gold Star Hwy, Groton CT 06340|814-772-7792|1957-11-08|22.24
976-17-5707|Saanvi Sami|872 Route 13, Cortlandville NY 13045|862-365-9080|1976-12-07|9.88
324-05-5158|Dhanush Sahota|1903 Cobbs Ford Rd, Prattville AL 36066|351-947-1285|1998-10-25|25.2
219-21-3282|Sarah Cantu|15445 Highway 24, Moulton AL 35650|484-482-7230|1972-12-29|18.01
324-41-1228|María Arreola|7155 State Rt 12 S, Lowville NY 13367|910-021-6031|1947-12-24|24.55
356-90-4462|Robin Kennedy|625 School Street, Putnam CT 06260|972-367-0186|1979-11-26|22.31
